"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"  1566 Icarus (1949 MA)",1.078,0.8270,22.80,87.95,31.43,0.187,1.97,1.12,16.57,1.0,160.86,2460417.82
"  1620 Geographos (1951 RA)",1.246,0.3356,13.34,337.15,277.01,0.828,1.66,1.39,15.27,2.56,289.36,2460700.14
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.56,286.03,0.647,2.29,1.78,16.08,1.5,252.87,2460794.35
"  1981 Midas (1973 EA)",1.776,0.6505,39.82,356.80,267.84,0.621,2.93,2.37,15.28,3.4,258.81,2460843.56
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.43,43.69,0.442,3.31,2.57,18.72,0.6,230.82,2460936.75
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.35,61.52,0.904,1.68,1.47,16.00,1.649,78.27,2460484.14
"  2135 Aristaeus (1977 HA)",1.6,0.5030,23.07,191.11,290.97,0.795,2.40,2.02,18.05,,202.31,2460924.20
"  2201 Oljato (1947 XC)",2.179,0.7107,2.52,74.87,98.37,0.630,3.73,3.22,15.36,1.80,334.42,2460683.95
"  2340 Hathor (1976 UA)",0.8438,0.4500,5.86,211.29,40.10,0.464,1.22,0.775,20.43,0.3,53.40,2460558.50
"  3122 Florence (1981 ET3)",1.769,0.4231,22.14,336.05,27.90,1.021,2.52,2.35,14.10,4.9,0.67,2460598.89
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.31,265.10,322.31,0.140,2.40,1.43,14.40,6.25,248.98,2460762.00
"  3361 Orpheus (1982 HR)",1.21,0.3229,2.66,188.68,302.34,0.820,1.60,1.33,19.56,0.3,24.54,2460567.34
"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.40,55.09,0.526,1.45,0.984,18.52,0.7,359.85,2460600.65
"  3671 Dionysus (1984 KD)",2.2,0.5420,13.54,82.05,204.33,1.008,3.39,3.26,16.50,1.5,131.35,2460165.58
"  3757 Anagolay (1982 XB)",1.834,0.4459,3.87,74.93,17.24,1.017,2.65,2.48,19.04,0.5,293.70,2460767.65
"  4015 Wilson-Harrington (1979 VA)",2.626,0.6312,2.80,266.73,95.52,0.968,4.28,4.25,16.19,4,181.75,2461369.95
"  4034 Vishnu (1986 PA)",1.06,0.4441,11.17,157.89,296.70,0.589,1.53,1.09,18.52,0.42,260.40,2460710.71
"  4179 Toutatis (1989 AC)",2.543,0.6248,0.45,125.36,277.88,0.954,4.13,4.06,15.31,5.4,339.68,2460684.14
"  4183 Cuno (1959 LM)",1.981,0.6361,6.67,294.35,237.02,0.721,3.24,2.79,14.17,3.651,175.91,2460102.94
